ID	CS.T2DM_vs_N.ctr_ratio	CS.T2DM_vs_N.ctr_p.adj
RANBP2	4.52	0.00311
STAU1	1.89	0.0209
PYCR2	6	0.00111
CRTAP	6.99	0.000711
IPO4	4.54	0.0172
NAE1	5.12	0.0264
GIPC1	1.83	0.022
GOLGA2	3.84	0.00184
ANKFY1	4.21	0.0295
NRP1	3.59	0.0404
POFUT2	3.47	0.00453
ARAP1	2.22	0.0181
MBNL1	4.46	0.00468
NT5E	7.92	0.00348
LEMD2	3.03	0.00722
ATP5F1D	6.3	0.00931
GIGYF2	3.69	0.0088
CHID1	2.94	0.0111
BLMH	3.41	0.00666
NOP58	4.79	0.00515
NSUN2	3.22	0.0104
RER1	2.8	0.0142
ARMCX3	3.05	0.022
YAP1	2.97	0.011
COMT	5.64	0.0139
VPS45	3.39	0.0385
WDFY1	5.14	0.00931
MAP4K4	5.17	0.00672
MROH1	5.28	0.00134
POLR2B	2.85	0.0042
BLOC1S4	1.94	0.0313
ATRN	2.95	0.0302
MAGED2	5.36	0.00513
ACACA	2.33	0.0252
TXN2	2.33	0.02
ACAA2	3.43	0.00222
ACADSB	3.74	0.0213
NCEH1	7.7	0.000642
UBQLN1	2.37	0.0342
RO60	5.24	0.00134
VWA8	3.43	0.0345
PPP2R5E	2.99	0.0299
RAB3GAP1	5.05	0.000887
SYNJ2BP	2.37	0.0402
SCRIB	2.22	0.0198
AGPS	3.13	0.0347
HTT	4.69	0.00103
PPP1R12C	3.55	0.00468
IGF2BP3	6.43	0.033
PTGIS	4.16	0.0198
ACSL3	4.66	0.0115
MMS19	3.22	0.0226
TRIOBP	3.56	0.0204
SLC9A3R1	3.44	0.00515
KIDINS220	3.48	0.00402
BCAR1	3.41	0.00768
ACAT2	7.22	0.00343
CCAR2	3.79	0.00776
PSPC1	4.15	0.0158
NXN	2.76	0.0207
SEC61B	4.07	0.0131
PAM	4.01	0.0023
TM9SF1	3.08	0.00389
HM13	5.83	0.00441
KCTD12	7.19	0.000557
DENND4C	1.67	0.0389
TBL2	2.6	0.0226
SETD7	4.41	0.017
PFKM	6.62	0.00074
CLCN7	3.55	0.0188
ECE1	5.37	0.0279
LAMP1	6.95	0.00977
PLPP3	2.19	0.0128
RIC8A	5.49	0.0148
SMARCA5	1.42	0.0494
TRIO	4.23	0.00137
NPC2	4.42	0.0168
NUP205	3.71	0.00184
STAT1	7.53	0.00074
ASPH	7.78	0.00631
TNC	3.93	0.00857
GYS1	8.12	0.00409
UBE4A	3.97	0.00688
PRKCD	2.32	0.0426
NT5C2	6.43	0.000711
XRN2	3.23	0.0286
LOX	1.78	0.0215
NDUFA13	4.51	0.00555
ADD1	4.2	0.00466
SCFD2	2.88	0.0124
AP3M2	1.76	0.029
ATP5MF	6.58	0.0135
CDKN2A	4.73	0.00432
IGFBP7	5.78	0.0251
PRPSAP2	3.01	0.00463
FYCO1	4.64	0.00287
TMF1	3.05	0.0261
AGFG1	3.36	0.00364
GFM1	4.19	0.00687
TJP2	3.73	0.00815
FOCAD	3.54	0.0273
SIL1	2.27	0.0321
LRPPRC	7.57	0.000639
C9orf64	3.03	0.00426
UFL1	5.01	0.00251
GAK	4.37	0.00303
EMC7	3.43	0.0282
VPS33A	3.2	0.0447
MGST1	5.29	0.00915
SMURF2	4.47	0.00229
MRPL2	2.42	0.0371
DAB2	5.97	0.0137
PPP6R3	2.7	0.0305
PMPCB	3.83	0.00679
ASCC3	4.04	0.00444
CIAO2B	1.82	0.0375
TIPRL	3.81	0.00462
ABCD3	5.31	0.00184
HMGCS1	3.04	0.0135
MYADM	5.8	0.00334
CEP170	5.78	0.00226
HECTD3	4.61	0.0322
GBE1	9.85	0.0023
IVD	6.1	0.000642
AMDHD2	3.78	0.00307
ATG7	4.21	0.00258
ECI2	4.14	0.00154
FAH	5.47	0.0264
TOR1A	3.94	0.00403
SWAP70	4.76	0.0265
SUPT5H	3.86	0.00244
SF3B2	4.58	0.00203
SVIL	3.4	0.0203
GOSR1	1.74	0.042
RAD50	4.89	0.00319
SLC7A1	2.06	0.0215
OSBPL8	5.46	0.00586
LARP4B	2.87	0.0207
TRIP11	2.47	0.0266
SCYL1	5.39	0.0013
ALDH1L2	7.62	0.00134
GAPVD1	2.53	0.0107
CLPX	2.63	0.0184
LNPEP	5.73	0.00074
SLC12A2	3.28	0.0121
CPD	3.84	0.0266
YTHDF2	1.71	0.0409
GABARAP	3.84	0.0107
ANO10	5.69	0.000642
PLIN3	7.22	0.00203
RBM25	4.35	0.0202
SYNE1	2.66	0.00716
SKIV2L	4.77	0.00119
MRPL15	2.11	0.0379
EIF2B5	2.24	0.0289
RNF149	4.05	0.0208
MTX1	4.76	0.0302
RABGGTA	3.25	0.0274
U2SURP	3.21	0.033
SSB	3.46	0.0383
KDSR	2.65	0.0273
NOTCH2	4.66	0.0177
VPS18	3.85	0.002
NDRG1	6.76	0.00759
SLC39A7	3.82	0.0223
ARHGAP35	3.33	0.00649
HEATR5A	2.8	0.0247
ASAH1	5.9	0.00145
ALDH4A1	4.33	0.00278
FAP	8.36	0.00463
ANK2	5.15	0.00316
GOPC	3.65	0.012
KPNA2	3.95	0.0121
HIBCH	3.55	0.00311
AGO2	2.63	0.0371
RAB34	4.53	0.00569
ERGIC3	2.35	0.0318
PSMD10	2.24	0.013
TTLL12	5	0.0148
SMG1	5.68	0.00425
DDT	4.99	0.0307
UBLCP1	4.07	0.00198
PMPCA	6.73	0.00458
PTPRM	1.99	0.0252
UBE2G2	3.75	0.00672
SORD	3.43	0.0049
