Gene	M1_24h_1	M1_24h_2	M1_24h_3	MO_Baseline_1	MO_Baseline_2	MO_Baseline_3	M2_24h_1	M2_24h_2	M2_24h_3
Git1	51.1951216662383	52.7401714708469	50.4401678900519	26.0317538451155	27.2839937562403	25.9969614469831	37.1714250963318	34.0424071220287	34.0292193233807
Git2	80.5979076732845	87.8325137833688	79.3677173292397	72.8248780700157	67.9505112511321	69.9323955095572	42.72907649374	41.34490764715	38.9747039784576
Gja1	46.7017174714947	46.9524425533317	40.5092190259773	21.8614192650718	29.31260193754	27.6476912479645	37.6067744557955	39.512545891769	40.4476371338505
Gja10	0	0	0	0	0	0	0	0	0
Gja3	0	0	0	0	0	0.0975800867575217	0.0463137616450683	0	0.0535612056506517
Gja4	0.134937062905214	0.10843520220169	0.0665613194643071	0.0410466001972809	0	0	0.0463137616450683	0.0898216546755376	0.187464219777281
Gja5	0	0	0	0.0164186400789123	0.0707654016732457	0.0487900433787609	0.815122204953203	1.09582418704156	1.61576303712799
Gja6	0.0539748251620857	0	0	0.0328372801578247	0.039314112040692	0	0.0741020186321093	0.035928661870215	0
Gja8	0	0	0	0	0	0	0	0.0179643309351075	0
Gjb1	0	0	0	0	0	0	0	0	0
Gjb2	0.3778237761346	0.0813264016512674	0.173059430607198	1.02616500493202	0.990715623425439	0.870089106921235	6.62286791524477	8.75761133086491	9.24823484234587
Gjb3	0	0	0	0.0410466001972809	0.0864910464895225	0.0487900433787609	0.203780551238301	0.188625474818629	0.0446343380422098
Gjb4	0	0.271088005504225	0	0.0903025204340179	0.228021849836014	0.105711760653982	0.055576513974082	0.161678978415968	0.339220969120794
Gjb5	0.0674685314526072	0	0	0.0410466001972809	0.0471769344488304	0.0406583694823007	0.305670826857451	0.449108273377688	0.232098557819491
Gjb6	0	0	0	0	0	0	0	0	0
Gjc1	1.25491468501849	0.0948808019264787	0.519178291821595	2.81579677353347	3.53040726125414	2.56147727738494	3.26975157214182	3.4581337050082	3.95460235053979
Gjc2	0	0	0.0532490555714456	0	0	0	0	0	0
Gjc3	0.647697901945029	1.16567842366817	0.585739611285902	0.205233000986404	0.463906522080166	0.56108549885575	0.185255046580273	0.296411460429274	0.0892686760844196
Gjd2	0	0	0	0	0	0	0	0	0
Gjd3	0	0	0	0	0	0	0	0.107785985610645	0
Gjd4	0	0	0	0	0	0	0	0	0
Gje1	0	0.135544002752112	0	0.0410466001972809	0	0	0.157466789593232	0.107785985610645	0
Gk	71.5031496334731	67.4466957694511	66.4814458809499	5.36068598576488	5.29167948067715	5.27745635880263	19.0349560361231	19.6170493811374	18.8356906538125
Gk2	0	0	0	0	0	0	0	0	0
Gk5	3.23848950972514	3.78167767678393	2.15658675064355	1.15751412556332	1.21087465085331	1.57754473591327	1.38941284935205	1.63475411509478	1.66932424277865
Gkap1	16.5972587373414	16.8210107415371	15.8549062963979	16.1641511576892	12.9264800389795	14.2222976449088	8.92003049284016	10.6618304099863	8.44481675758609
Gkn1	0.0944559440336501	0	0	0	0	0	0	0	0
Gkn2	0	0	0	0	0	0	0	0	0
Gkn3	0	0	0	0	0	0	0	0	0
Gla	216.223149599315	212.763421119991	220.637461760285	63.1953456637336	61.0862672888273	55.3360408654113	102.001428647098	95.1660431287321	99.3649633495674
Glb1	67.0637202638915	62.689101272852	67.1603713394858	123.386080193026	112.336143745073	119.088364213659	90.2377331892511	85.6539298985926	90.5273644172099
Glb1l	7.82634964850243	8.66126177585998	10.2238186697176	16.6074544398198	12.7692235908168	13.8807673412575	9.78146645943843	9.04504062582664	8.73940338866468
Glb1l2	0.161924475486257	0.189761603852957	0.18637169450006	0.0985118404734741	0.0943538688976609	0.154501804032743	0.138941284935205	0.197607640286183	0.241025425427933
Glb1l3	0	0	0	0	0	0	0	0	0
Glcci1	8.19067971834651	7.88866096017294	7.86754796068109	4.17854390008319	3.22375718733675	2.78103247258937	4.19602680504319	3.74556299996992	4.40094573096189
Glce	5.82928111750526	5.47597771118534	6.85581590482363	11.9035140572115	12.9264800389795	12.441461061584	12.9771160129481	12.7456927984588	15.309577948478
Gldc	0.0269874125810429	0	0.0798735833571685	0.0164186400789123	0.039314112040692	0.0406583694823007	0.0926275232901367	0.0628751582728763	0.0981955436928615
Gldn	0	0	0	0.0246279601183685	0	0.0325266955858406	0.287145322199424	0.251500633091505	0.160683616951955
Gle1	6.74685314526072	6.92629854063294	8.43997530807413	12.4124918996577	12.7613607684086	10.9533647385318	11.7081189438733	14.1648749423323	12.0691250066135
Glg1	166.121018142609	145.235398948888	154.315763046049	89.1121690282968	84.9813845871599	86.8300138664014	78.0386883719401	80.9293108626594	84.3946063702103
Gli1	0.121443356614693	0.243979204953802	0.0532490555714456	0.114930480552386	0.283061606692983	0.300871934169025	0.0741020186321093	0.14371464748086	0.107122411301303
Gli2	0.0269874125810429	0.162652803302535	0.0931858472500299	0.0903025204340179	0.0471769344488304	0.056921717275221	0.027788256987041	0.00898216546755376	0.107122411301303
Gli3	0.404811188715643	0.487958409907604	0.37274338900012	1.7978410886409	2.09151076056482	2.13049856087256	3.01965725925845	3.03597192803317	3.09762306012936
Glipr1	411.139736965898	410.860981142203	371.02610695794	185.645563372262	156.187104315261	174.180454862176	222.787719017437	185.212251940958	197.703336924164
Glipr1l1	0	0	0	0	0	0	0	0	0
Glipr1l2	0	0	0	0	0	0	0	0	0
